row_id,date,spot,strike,moneyness,option_type,maturity_label,maturity_days,tau,iv_observed
40,2025-01-02,22140.38,21050,0.95,call,2M,60,0.2381,
41,2025-01-02,22140.38,21050,0.95,put,2M,60,0.2381,
42,2025-01-02,22140.38,21600,0.975,call,2M,60,0.2381,
43,2025-01-02,22140.38,21600,0.975,put,2M,60,0.2381,
44,2025-01-02,22140.38,22150,1.0,call,2M,60,0.2381,19.6816
45,2025-01-02,22140.38,22150,1.0,put,2M,60,0.2381,
46,2025-01-02,22140.38,22700,1.025,call,2M,60,0.2381,
47,2025-01-02,22140.38,22700,1.025,put,2M,60,0.2381,19.7822
48,2025-01-02,22140.38,23250,1.05,call,2M,60,0.2381,18.881
49,2025-01-02,22140.38,23250,1.05,put,2M,60,0.2381,
50,2025-01-02,22140.38,23800,1.075,call,2M,60,0.2381,19.1803
51,2025-01-02,22140.38,23800,1.075,put,2M,60,0.2381,17.6847
52,2025-01-02,22140.38,24350,1.1,call,2M,60,0.2381,18.075
53,2025-01-02,22140.38,24350,1.1,put,2M,60,0.2381,18.0747
54,2025-01-02,22140.38,24900,1.125,call,2M,60,0.2381,
55,2025-01-02,22140.38,24900,1.125,put,2M,60,0.2381,17.9033
56,2025-01-02,22140.38,25450,1.15,call,2M,60,0.2381,18.7981
57,2025-01-02,22140.38,25450,1.15,put,2M,60,0.2381,
58,2025-01-02,22140.38,26550,1.2,call,2M,60,0.2381,17.9385
59,2025-01-02,22140.38,26550,1.2,put,2M,60,0.2381,
60,2025-01-02,22140.38,17700,0.8,call,3M,91,0.36111,
61,2025-01-02,22140.38,17700,0.8,put,3M,91,0.36111,24.9656
62,2025-01-02,22140.38,18800,0.85,call,3M,91,0.36111,21.5345
63,2025-01-02,22140.38,18800,0.85,put,3M,91,0.36111,
64,2025-01-02,22140.38,19350,0.875,call,3M,91,0.36111,
65,2025-01-02,22140.38,19350,0.875,put,3M,91,0.36111,
66,2025-01-02,22140.38,19950,0.9,call,3M,91,0.36111,19.8247
67,2025-01-02,22140.38,19950,0.9,put,3M,91,0.36111,21.193
68,2025-01-02,22140.38,20500,0.925,call,3M,91,0.36111,19.9356
69,2025-01-02,22140.38,20500,0.925,put,3M,91,0.36111,19.8327
70,2025-01-02,22140.38,21050,0.95,call,3M,91,0.36111,19.722
71,2025-01-02,22140.38,21050,0.95,put,3M,91,0.36111,
72,2025-01-02,22140.38,21600,0.975,call,3M,91,0.36111,
73,2025-01-02,22140.38,21600,0.975,put,3M,91,0.36111,
74,2025-01-02,22140.38,22150,1.0,call,3M,91,0.36111,
75,2025-01-02,22140.38,22150,1.0,put,3M,91,0.36111,
76,2025-01-02,22140.38,22700,1.025,call,3M,91,0.36111,18.991
77,2025-01-02,22140.38,22700,1.025,put,3M,91,0.36111,18.8105
78,2025-01-02,22140.38,23250,1.05,call,3M,91,0.36111,
79,2025-01-02,22140.38,23250,1.05,put,3M,91,0.36111,20.2607
80,2025-01-02,22140.38,23800,1.075,call,3M,91,0.36111,18.7315
81,2025-01-02,22140.38,23800,1.075,put,3M,91,0.36111,18.5176
82,2025-01-02,22140.38,24350,1.1,call,3M,91,0.36111,
83,2025-01-02,22140.38,24350,1.1,put,3M,91,0.36111,17.998
84,2025-01-02,22140.38,24900,1.125,call,3M,91,0.36111,18.0757
85,2025-01-02,22140.38,24900,1.125,put,3M,91,0.36111,
86,2025-01-02,22140.38,25450,1.15,call,3M,91,0.36111,17.7687
87,2025-01-02,22140.38,25450,1.15,put,3M,91,0.36111,17.0748
88,2025-01-02,22140.38,26550,1.2,call,3M,91,0.36111,
89,2025-01-02,22140.38,26550,1.2,put,3M,91,0.36111,17.003
90,2025-01-02,22140.38,17700,0.8,call,6M,182,0.72222,
91,2025-01-02,22140.38,17700,0.8,put,6M,182,0.72222,
92,2025-01-02,22140.38,18800,0.85,call,6M,182,0.72222,
93,2025-01-02,22140.38,18800,0.85,put,6M,182,0.72222,19.368
94,2025-01-02,22140.38,19350,0.875,call,6M,182,0.72222,
95,2025-01-02,22140.38,19350,0.875,put,6M,182,0.72222,20.523
96,2025-01-02,22140.38,19950,0.9,call,6M,182,0.72222,
97,2025-01-02,22140.38,19950,0.9,put,6M,182,0.72222,18.8074
98,2025-01-02,22140.38,20500,0.925,call,6M,182,0.72222,18.3765
99,2025-01-02,22140.38,20500,0.925,put,6M,182,0.72222,19.4313
100,2025-01-02,22140.38,21050,0.95,call,6M,182,0.72222,18.1516
101,2025-01-02,22140.38,21050,0.95,put,6M,182,0.72222,18.8429
102,2025-01-02,22140.38,21600,0.975,call,6M,182,0.72222,18.3852
103,2025-01-02,22140.38,21600,0.975,put,6M,182,0.72222,18.113
104,2025-01-02,22140.38,22150,1.0,call,6M,182,0.72222,19.2945
105,2025-01-02,22140.38,22150,1.0,put,6M,182,0.72222,
106,2025-01-02,22140.38,22700,1.025,call,6M,182,0.72222,17.0746
107,2025-01-02,22140.38,22700,1.025,put,6M,182,0.72222,
108,2025-01-02,22140.38,23250,1.05,call,6M,182,0.72222,17.71
109,2025-01-02,22140.38,23250,1.05,put,6M,182,0.72222,
110,2025-01-02,22140.38,23800,1.075,call,6M,182,0.72222,17.6019
111,2025-01-02,22140.38,23800,1.075,put,6M,182,0.72222,
112,2025-01-02,22140.38,24350,1.1,call,6M,182,0.72222,18.3389
113,2025-01-02,22140.38,24350,1.1,put,6M,182,0.72222,
114,2025-01-02,22140.38,24900,1.125,call,6M,182,0.72222,
115,2025-01-02,22140.38,24900,1.125,put,6M,182,0.72222,17.4771
116,2025-01-02,22140.38,25450,1.15,call,6M,182,0.72222,17.8725
117,2025-01-02,22140.38,25450,1.15,put,6M,182,0.72222,17.2701
118,2025-01-02,22140.38,26550,1.2,call,6M,182,0.72222,
119,2025-01-02,22140.38,26550,1.2,put,6M,182,0.72222,17.9904
120,2025-01-03,22112.52,17700,0.8,call,1M,30,0.11905,
121,2025-01-03,22112.52,17700,0.8,put,1M,30,0.11905,25.1984
122,2025-01-03,22112.52,18800,0.85,call,1M,30,0.11905,
123,2025-01-03,22112.52,18800,0.85,put,1M,30,0.11905,
124,2025-01-03,22112.52,19350,0.875,call,1M,30,0.11905,
125,2025-01-03,22112.52,19350,0.875,put,1M,30,0.11905,
126,2025-01-03,22112.52,19900,0.9,call,1M,30,0.11905,19.2374
127,2025-01-03,22112.52,19900,0.9,put,1M,30,0.11905,
128,2025-01-03,22112.52,20450,0.925,call,1M,30,0.11905,
129,2025-01-03,22112.52,20450,0.925,put,1M,30,0.11905,19.2202
130,2025-01-03,22112.52,21000,0.95,call,1M,30,0.11905,
131,2025-01-03,22112.52,21000,0.95,put,1M,30,0.11905,
132,2025-01-03,22112.52,21550,0.975,call,1M,30,0.11905,15.1309
133,2025-01-03,22112.52,21550,0.975,put,1M,30,0.11905,
134,2025-01-03,22112.52,22100,1.0,call,1M,30,0.11905,16.2614
135,2025-01-03,22112.52,22100,1.0,put,1M,30,0.11905,15.7638
136,2025-01-03,22112.52,22650,1.025,call,1M,30,0.11905,16.8699
137,2025-01-03,22112.52,22650,1.025,put,1M,30,0.11905,14.99
138,2025-01-03,22112.52,23200,1.05,call,1M,30,0.11905,
139,2025-01-03,22112.52,23200,1.05,put,1M,30,0.11905,15.2096
140,2025-01-03,22112.52,23750,1.075,call,1M,30,0.11905,16.2611
141,2025-01-03,22112.52,23750,1.075,put,1M,30,0.11905,
142,2025-01-03,22112.52,24300,1.1,call,1M,30,0.11905,
143,2025-01-03,22112.52,24300,1.1,put,1M,30,0.11905,14.1371
144,2025-01-03,22112.52,24900,1.125,call,1M,30,0.11905,14.5228
145,2025-01-03,22112.52,24900,1.125,put,1M,30,0.11905,
146,2025-01-03,22112.52,25450,1.15,call,1M,30,0.11905,15.1065
147,2025-01-03,22112.52,25450,1.15,put,1M,30,0.11905,
148,2025-01-03,22112.52,26550,1.2,call,1M,30,0.11905,
149,2025-01-03,22112.52,26550,1.2,put,1M,30,0.11905,12.4769
150,2025-01-03,22112.52,17700,0.8,call,2M,60,0.2381,
151,2025-01-03,22112.52,17700,0.8,put,2M,60,0.2381,22.7243
152,2025-01-03,22112.52,18800,0.85,call,2M,60,0.2381,
153,2025-01-03,22112.52,18800,0.85,put,2M,60,0.2381,
154,2025-01-03,22112.52,19350,0.875,call,2M,60,0.2381,
155,2025-01-03,22112.52,19350,0.875,put,2M,60,0.2381,18.0094
156,2025-01-03,22112.52,19900,0.9,call,2M,60,0.2381,17.2562
157,2025-01-03,22112.52,19900,0.9,put,2M,60,0.2381,18.6664
158,2025-01-03,22112.52,20450,0.925,call,2M,60,0.2381,
159,2025-01-03,22112.52,20450,0.925,put,2M,60,0.2381,
160,2025-01-03,22112.52,21000,0.95,call,2M,60,0.2381,16.2547
161,2025-01-03,22112.52,21000,0.95,put,2M,60,0.2381,
162,2025-01-03,22112.52,21550,0.975,call,2M,60,0.2381,15.6664
163,2025-01-03,22112.52,21550,0.975,put,2M,60,0.2381,16.6491
164,2025-01-03,22112.52,22100,1.0,call,2M,60,0.2381,15.8131
165,2025-01-03,22112.52,22100,1.0,put,2M,60,0.2381,15.2882
166,2025-01-03,22112.52,22650,1.025,call,2M,60,0.2381,15.8163
167,2025-01-03,22112.52,22650,1.025,put,2M,60,0.2381,15.2791
168,2025-01-03,22112.52,23200,1.05,call,2M,60,0.2381,15.5506
169,2025-01-03,22112.52,23200,1.05,put,2M,60,0.2381,14.9977
170,2025-01-03,22112.52,23750,1.075,call,2M,60,0.2381,
171,2025-01-03,22112.52,23750,1.075,put,2M,60,0.2381,
172,2025-01-03,22112.52,24300,1.1,call,2M,60,0.2381,
173,2025-01-03,22112.52,24300,1.1,put,2M,60,0.2381,
174,2025-01-03,22112.52,24900,1.125,call,2M,60,0.2381,
175,2025-01-03,22112.52,24900,1.125,put,2M,60,0.2381,13.6436
176,2025-01-03,22112.52,25450,1.15,call,2M,60,0.2381,15.3759
177,2025-01-03,22112.52,25450,1.15,put,2M,60,0.2381,
178,2025-01-03,22112.52,26550,1.2,call,2M,60,0.2381,14.9174
179,2025-01-03,22112.52,26550,1.2,put,2M,60,0.2381,
180,2025-01-03,22112.52,17700,0.8,call,3M,91,0.36111,
181,2025-01-03,22112.52,17700,0.8,put,3M,91,0.36111,
182,2025-01-03,22112.52,18800,0.85,call,3M,91,0.36111,18.1259
183,2025-01-03,22112.52,18800,0.85,put,3M,91,0.36111,
184,2025-01-03,22112.52,19350,0.875,call,3M,91,0.36111,
185,2025-01-03,22112.52,19350,0.875,put,3M,91,0.36111,18.0308
186,2025-01-03,22112.52,19900,0.9,call,3M,91,0.36111,16.9426
187,2025-01-03,22112.52,19900,0.9,put,3M,91,0.36111,17.1356
188,2025-01-03,22112.52,20450,0.925,call,3M,91,0.36111,
189,2025-01-03,22112.52,20450,0.925,put,3M,91,0.36111,16.6097
190,2025-01-03,22112.52,21000,0.95,call,3M,91,0.36111,
191,2025-01-03,22112.52,21000,0.95,put,3M,91,0.36111,16.4348
192,2025-01-03,22112.52,21550,0.975,call,3M,91,0.36111,
193,2025-01-03,22112.52,21550,0.975,put,3M,91,0.36111,16.6924
194,2025-01-03,22112.52,22100,1.0,call,3M,91,0.36111,14.6518
195,2025-01-03,22112.52,22100,1.0,put,3M,91,0.36111,14.5477
196,2025-01-03,22112.52,22650,1.025,call,3M,91,0.36111,15.5358
197,2025-01-03,22112.52,22650,1.025,put,3M,91,0.36111,15.1659
198,2025-01-03,22112.52,23200,1.05,call,3M,91,0.36111,
199,2025-01-03,22112.52,23200,1.05,put,3M,91,0.36111,
200,2025-01-03,22112.52,23750,1.075,call,3M,91,0.36111,
201,2025-01-03,22112.52,23750,1.075,put,3M,91,0.36111,
202,2025-01-03,22112.52,24300,1.1,call,3M,91,0.36111,
203,2025-01-03,22112.52,24300,1.1,put,3M,91,0.36111,13.4501
204,2025-01-03,22112.52,24900,1.125,call,3M,91,0.36111,
205,2025-01-03,22112.52,24900,1.125,put,3M,91,0.36111,
206,2025-01-03,22112.52,25450,1.15,call,3M,91,0.36111,
207,2025-01-03,22112.52,25450,1.15,put,3M,91,0.36111,13.2349
208,2025-01-03,22112.52,26550,1.2,call,3M,91,0.36111,
209,2025-01-03,22112.52,26550,1.2,put,3M,91,0.36111,
210,2025-01-03,22112.52,17700,0.8,call,6M,182,0.72222,
211,2025-01-03,22112.52,17700,0.8,put,6M,182,0.72222,
212,2025-01-03,22112.52,18800,0.85,call,6M,182,0.72222,16.3037
213,2025-01-03,22112.52,18800,0.85,put,6M,182,0.72222,16.4111
214,2025-01-03,22112.52,19350,0.875,call,6M,182,0.72222,
215,2025-01-03,22112.52,19350,0.875,put,6M,182,0.72222,16.3643
216,2025-01-03,22112.52,19900,0.9,call,6M,182,0.72222,
217,2025-01-03,22112.52,19900,0.9,put,6M,182,0.72222,14.9719
218,2025-01-03,22112.52,20450,0.925,call,6M,182,0.72222,
219,2025-01-03,22112.52,20450,0.925,put,6M,182,0.72222,15.2881
220,2025-01-03,22112.52,21000,0.95,call,6M,182,0.72222,15.0678
221,2025-01-03,22112.52,21000,0.95,put,6M,182,0.72222,15.8763
222,2025-01-03,22112.52,21550,0.975,call,6M,182,0.72222,
223,2025-01-03,22112.52,21550,0.975,put,6M,182,0.72222,14.7236
224,2025-01-03,22112.52,22100,1.0,call,6M,182,0.72222,14.5685
225,2025-01-03,22112.52,22100,1.0,put,6M,182,0.72222,14.0768
226,2025-01-03,22112.52,22650,1.025,call,6M,182,0.72222,14.4706
227,2025-01-03,22112.52,22650,1.025,put,6M,182,0.72222,14.2431
228,2025-01-03,22112.52,23200,1.05,call,6M,182,0.72222,
229,2025-01-03,22112.52,23200,1.05,put,6M,182,0.72222,13.8041
230,2025-01-03,22112.52,23750,1.075,call,6M,182,0.72222,14.6844
231,2025-01-03,22112.52,23750,1.075,put,6M,182,0.72222,
232,2025-01-03,22112.52,24300,1.1,call,6M,182,0.72222,14.3437
233,2025-01-03,22112.52,24300,1.1,put,6M,182,0.72222,14.2982
234,2025-01-03,22112.52,24900,1.125,call,6M,182,0.72222,14.8521
235,2025-01-03,22112.52,24900,1.125,put,6M,182,0.72222,13.7933
236,2025-01-03,22112.52,25450,1.15,call,6M,182,0.72222,
237,2025-01-03,22112.52,25450,1.15,put,6M,182,0.72222,14.0284
238,2025-01-03,22112.52,26550,1.2,call,6M,182,0.72222,14.7953
239,2025-01-03,22112.52,26550,1.2,put,6M,182,0.72222,13.5958
240,2025-01-06,22293.97,17850,0.8,call,1M,30,0.11905,21.9643
241,2025-01-06,22293.97,17850,0.8,put,1M,30,0.11905,
242,2025-01-06,22293.97,18950,0.85,call,1M,30,0.11905,20.9355
243,2025-01-06,22293.97,18950,0.85,put,1M,30,0.11905,
244,2025-01-06,22293.97,19500,0.875,call,1M,30,0.11905,
245,2025-01-06,22293.97,19500,0.875,put,1M,30,0.11905,20.3421
246,2025-01-06,22293.97,20050,0.9,call,1M,30,0.11905,
247,2025-01-06,22293.97,20050,0.9,put,1M,30,0.11905,
248,2025-01-06,22293.97,20600,0.925,call,1M,30,0.11905,19.0889
249,2025-01-06,22293.97,20600,0.925,put,1M,30,0.11905,
250,2025-01-06,22293.97,21200,0.95,call,1M,30,0.11905,16.852
251,2025-01-06,22293.97,21200,0.95,put,1M,30,0.11905,17.5878
252,2025-01-06,22293.97,21750,0.975,call,1M,30,0.11905,15.7108
253,2025-01-06,22293.97,21750,0.975,put,1M,30,0.11905,16.8395
254,2025-01-06,22293.97,22300,1.0,call,1M,30,0.11905,16.0081
255,2025-01-06,22293.97,22300,1.0,put,1M,30,0.11905,
256,2025-01-06,22293.97,22850,1.025,call,1M,30,0.11905,
257,2025-01-06,22293.97,22850,1.025,put,1M,30,0.11905,16.7044
258,2025-01-06,22293.97,23400,1.05,call,1M,30,0.11905,
259,2025-01-06,22293.97,23400,1.05,put,1M,30,0.11905,
260,2025-01-06,22293.97,23950,1.075,call,1M,30,0.11905,
261,2025-01-06,22293.97,23950,1.075,put,1M,30,0.11905,14.88
262,2025-01-06,22293.97,24500,1.1,call,1M,30,0.11905,
263,2025-01-06,22293.97,24500,1.1,put,1M,30,0.11905,15.1779
264,2025-01-06,22293.97,25100,1.125,call,1M,30,0.11905,
265,2025-01-06,22293.97,25100,1.125,put,1M,30,0.11905,
266,2025-01-06,22293.97,25650,1.15,call,1M,30,0.11905,
267,2025-01-06,22293.97,25650,1.15,put,1M,30,0.11905,
268,2025-01-06,22293.97,26750,1.2,call,1M,30,0.11905,
269,2025-01-06,22293.97,26750,1.2,put,1M,30,0.11905,13.5104
270,2025-01-06,22293.97,17850,0.8,call,2M,60,0.2381,
271,2025-01-06,22293.97,17850,0.8,put,2M,60,0.2381,21.8824
272,2025-01-06,22293.97,18950,0.85,call,2M,60,0.2381,18.6098
273,2025-01-06,22293.97,18950,0.85,put,2M,60,0.2381,
274,2025-01-06,22293.97,19500,0.875,call,2M,60,0.2381,17.6667
275,2025-01-06,22293.97,19500,0.875,put,2M,60,0.2381,19.5548
276,2025-01-06,22293.97,20050,0.9,call,2M,60,0.2381,
277,2025-01-06,22293.97,20050,0.9,put,2M,60,0.2381,18.2433
278,2025-01-06,22293.97,20600,0.925,call,2M,60,0.2381,16.8896
279,2025-01-06,22293.97,20600,0.925,put,2M,60,0.2381,17.8361
280,2025-01-06,22293.97,21200,0.95,call,2M,60,0.2381,16.75
281,2025-01-06,22293.97,21200,0.95,put,2M,60,0.2381,16.2391
282,2025-01-06,22293.97,21750,0.975,call,2M,60,0.2381,15.1761
283,2025-01-06,22293.97,21750,0.975,put,2M,60,0.2381,16.8713
284,2025-01-06,22293.97,22300,1.0,call,2M,60,0.2381,
285,2025-01-06,22293.97,22300,1.0,put,2M,60,0.2381,15.2604
286,2025-01-06,22293.97,22850,1.025,call,2M,60,0.2381,16.1542
287,2025-01-06,22293.97,22850,1.025,put,2M,60,0.2381,15.1798
288,2025-01-06,22293.97,23400,1.05,call,2M,60,0.2381,15.7472
289,2025-01-06,22293.97,23400,1.05,put,2M,60,0.2381,
290,2025-01-06,22293.97,23950,1.075,call,2M,60,0.2381,16.0671
291,2025-01-06,22293.97,23950,1.075,put,2M,60,0.2381,15.224
292,2025-01-06,22293.97,24500,1.1,call,2M,60,0.2381,14.6361
293,2025-01-06,22293.97,24500,1.1,put,2M,60,0.2381,
294,2025-01-06,22293.97,25100,1.125,call,2M,60,0.2381,15.0517
295,2025-01-06,22293.97,25100,1.125,put,2M,60,0.2381,14.3798
296,2025-01-06,22293.97,25650,1.15,call,2M,60,0.2381,14.0196
297,2025-01-06,22293.97,25650,1.15,put,2M,60,0.2381,
298,2025-01-06,22293.97,26750,1.2,call,2M,60,0.2381,15.243
299,2025-01-06,22293.97,26750,1.2,put,2M,60,0.2381,
300,2025-01-06,22293.97,17850,0.8,call,3M,91,0.36111,18.1901
301,2025-01-06,22293.97,17850,0.8,put,3M,91,0.36111,
302,2025-01-06,22293.97,18950,0.85,call,3M,91,0.36111,
303,2025-01-06,22293.97,18950,0.85,put,3M,91,0.36111,
304,2025-01-06,22293.97,19500,0.875,call,3M,91,0.36111,
305,2025-01-06,22293.97,19500,0.875,put,3M,91,0.36111,
306,2025-01-06,22293.97,20050,0.9,call,3M,91,0.36111,17.4907
307,2025-01-06,22293.97,20050,0.9,put,3M,91,0.36111,16.5162
308,2025-01-06,22293.97,20600,0.925,call,3M,91,0.36111,15.1631
309,2025-01-06,22293.97,20600,0.925,put,3M,91,0.36111,16.6513
310,2025-01-06,22293.97,21200,0.95,call,3M,91,0.36111,
311,2025-01-06,22293.97,21200,0.95,put,3M,91,0.36111,
312,2025-01-06,22293.97,21750,0.975,call,3M,91,0.36111,14.3491
313,2025-01-06,22293.97,21750,0.975,put,3M,91,0.36111,15.5603
314,2025-01-06,22293.97,22300,1.0,call,3M,91,0.36111,14.5026
315,2025-01-06,22293.97,22300,1.0,put,3M,91,0.36111,15.4896
316,2025-01-06,22293.97,22850,1.025,call,3M,91,0.36111,
317,2025-01-06,22293.97,22850,1.025,put,3M,91,0.36111,
318,2025-01-06,22293.97,23400,1.05,call,3M,91,0.36111,
319,2025-01-06,22293.97,23400,1.05,put,3M,91,0.36111,
320,2025-01-06,22293.97,23950,1.075,call,3M,91,0.36111,
321,2025-01-06,22293.97,23950,1.075,put,3M,91,0.36111,14.6289
322,2025-01-06,22293.97,24500,1.1,call,3M,91,0.36111,13.9681
323,2025-01-06,22293.97,24500,1.1,put,3M,91,0.36111,
324,2025-01-06,22293.97,25100,1.125,call,3M,91,0.36111,14.1606
325,2025-01-06,22293.97,25100,1.125,put,3M,91,0.36111,13.148
326,2025-01-06,22293.97,25650,1.15,call,3M,91,0.36111,14.3827
327,2025-01-06,22293.97,25650,1.15,put,3M,91,0.36111,12.8031
328,2025-01-06,22293.97,26750,1.2,call,3M,91,0.36111,
329,2025-01-06,22293.97,26750,1.2,put,3M,91,0.36111,12.3994
330,2025-01-06,22293.97,17850,0.8,call,6M,182,0.72222,18.4626
331,2025-01-06,22293.97,17850,0.8,put,6M,182,0.72222,
332,2025-01-06,22293.97,18950,0.85,call,6M,182,0.72222,
333,2025-01-06,22293.97,18950,0.85,put,6M,182,0.72222,
334,2025-01-06,22293.97,19500,0.875,call,6M,182,0.72222,15.6851
335,2025-01-06,22293.97,19500,0.875,put,6M,182,0.72222,
336,2025-01-06,22293.97,20050,0.9,call,6M,182,0.72222,15.7697
337,2025-01-06,22293.97,20050,0.9,put,6M,182,0.72222,
338,2025-01-06,22293.97,20600,0.925,call,6M,182,0.72222,14.8352
339,2025-01-06,22293.97,20600,0.925,put,6M,182,0.72222,15.0857
340,2025-01-06,22293.97,21200,0.95,call,6M,182,0.72222,
341,2025-01-06,22293.97,21200,0.95,put,6M,182,0.72222,13.8423
342,2025-01-06,22293.97,21750,0.975,call,6M,182,0.72222,13.9307
343,2025-01-06,22293.97,21750,0.975,put,6M,182,0.72222,15.516
344,2025-01-06,22293.97,22300,1.0,call,6M,182,0.72222,15.4005
345,2025-01-06,22293.97,22300,1.0,put,6M,182,0.72222,14.4535
346,2025-01-06,22293.97,22850,1.025,call,6M,182,0.72222,14.7791
347,2025-01-06,22293.97,22850,1.025,put,6M,182,0.72222,14.5542
348,2025-01-06,22293.97,23400,1.05,call,6M,182,0.72222,16.0727
349,2025-01-06,22293.97,23400,1.05,put,6M,182,0.72222,14.8487
350,2025-01-06,22293.97,23950,1.075,call,6M,182,0.72222,
351,2025-01-06,22293.97,23950,1.075,put,6M,182,0.72222,13.6111
352,2025-01-06,22293.97,24500,1.1,call,6M,182,0.72222,13.4878
353,2025-01-06,22293.97,24500,1.1,put,6M,182,0.72222,
354,2025-01-06,22293.97,25100,1.125,call,6M,182,0.72222,14.0011
355,2025-01-06,22293.97,25100,1.125,put,6M,182,0.72222,13.1926
356,2025-01-06,22293.97,25650,1.15,call,6M,182,0.72222,14.1242
357,2025-01-06,22293.97,25650,1.15,put,6M,182,0.72222,13.3666
358,2025-01-06,22293.97,26750,1.2,call,6M,182,0.72222,15.8074
359,2025-01-06,22293.97,26750,1.2,put,6M,182,0.72222,14.6494
360,2025-01-07,22714.25,18150,0.8,call,1M,30,0.11905,
361,2025-01-07,22714.25,18150,0.8,put,1M,30,0.11905,36.8401
362,2025-01-07,22714.25,19300,0.85,call,1M,30,0.11905,31.3477
363,2025-01-07,22714.25,19300,0.85,put,1M,30,0.11905,
364,2025-01-07,22714.25,19850,0.875,call,1M,30,0.11905,31.4046
365,2025-01-07,22714.25,19850,0.875,put,1M,30,0.11905,
366,2025-01-07,22714.25,20450,0.9,call,1M,30,0.11905,29.1698
367,2025-01-07,22714.25,20450,0.9,put,1M,30,0.11905,30.9057
368,2025-01-07,22714.25,21000,0.925,call,1M,30,0.11905,28.6434
369,2025-01-07,22714.25,21000,0.925,put,1M,30,0.11905,29.2818
370,2025-01-07,22714.25,21600,0.95,call,1M,30,0.11905,29.0694
371,2025-01-07,22714.25,21600,0.95,put,1M,30,0.11905,30.2052
372,2025-01-07,22714.25,22150,0.975,call,1M,30,0.11905,
373,2025-01-07,22714.25,22150,0.975,put,1M,30,0.11905,
374,2025-01-07,22714.25,22700,1.0,call,1M,30,0.11905,27.3289
375,2025-01-07,22714.25,22700,1.0,put,1M,30,0.11905,27.4106
376,2025-01-07,22714.25,23300,1.025,call,1M,30,0.11905,26.9828
377,2025-01-07,22714.25,23300,1.025,put,1M,30,0.11905,26.5501
378,2025-01-07,22714.25,23850,1.05,call,1M,30,0.11905,
379,2025-01-07,22714.25,23850,1.05,put,1M,30,0.11905,25.9601
380,2025-01-07,22714.25,24400,1.075,call,1M,30,0.11905,26.8787
381,2025-01-07,22714.25,24400,1.075,put,1M,30,0.11905,25.846
382,2025-01-07,22714.25,25000,1.1,call,1M,30,0.11905,
383,2025-01-07,22714.25,25000,1.1,put,1M,30,0.11905,24.8792
